+-------+------------------+------------------+------------+------------+
|   Z   |        F         |     F deriv      |     U      |    divF    |
| 0.007 |  114.8217823673  |  115.6134751924  | 2.2224e-06 | 90489.483  |
| 0.007 |  116.4051680182  |  117.1968800522  | 2.2224e-06 | 90490.448  |
| 0.008 |  117.988592087   |  118.7803232211  | 2.2224e-06 | 90491.426  |
| 0.008 |  119.5720543561  |  120.3638045359  | 2.2223e-06 | 90492.418  |
| 0.008 |  121.1555547167  |  121.9473238674  | 2.2223e-06 | 90493.423  |
| 0.008 |  122.739093019   |  123.5308811066  | 2.2223e-06 |  90494.44  |
| 0.008 |  124.3226691951  |  125.1144761584  | 2.2223e-06 | 90495.471  |
| 0.008 |  125.9062831226  |  126.6981089616  | 2.2223e-06 | 90496.515  |
| 0.008 |  127.4899348016  |  128.2817794687  | 2.2223e-06 | 90497.572  |
| 0.008 |  129.0736241369  |  129.8654876594  | 2.2223e-06 | 90498.643  |
| 0.008 |  130.657351183   |  131.4492335337  | 2.2223e-06 | 90499.726  |
| 0.008 |  132.2411158856  |  133.0330170782  | 2.2223e-06 | 90500.822  |
| 0.008 |  133.824918272   |  134.616838327   | 2.2223e-06 | 90501.932  |
| 0.009 |  135.4087583832  |  136.2006973142  | 2.2223e-06 | 90503.055  |
| 0.009 |  136.9926362465  |  137.7845941012  | 2.2223e-06 |  90504.19  |
| 0.009 |  138.5765519572  |  139.3685287426  | 2.2223e-06 | 90505.339  |
| 0.009 |  140.1605055293  |  140.9525013201  | 2.2223e-06 | 90506.501  |
| 0.009 |  141.7444971124  |  142.5365119428  | 2.2223e-06 | 90507.677  |
| 0.009 |  143.3285267747  |  144.1205606925  | 2.2223e-06 | 90508.865  |
| 0.009 |  144.9125946118  |  145.704647685   | 2.2223e-06 | 90510.066  |
| 0.009 |  146.4967007598  |  147.2887730498  | 2.2223e-06 | 90511.281  |
| 0.009 |  148.0808453415  |  148.8729369163  | 2.2223e-06 | 90512.508  |
|  0.01 |  149.6650284929  |  150.4571394209  | 2.2223e-06 | 90513.749  |
|  0.01 |  151.2492503505  |  152.0413807064  | 2.2223e-06 | 90515.003  |
|  0.01 |  152.8335110641  |  153.6256609297  | 2.2223e-06 |  90516.27  |
|  0.01 |  154.4178107972  |  155.2099802679  | 2.2223e-06 |  90517.55  |
|  0.01 |  156.0021497405  |  156.7943388913  | 2.2223e-06 | 90518.843  |
|  0.01 |  157.586528044   |  158.3787369565  | 2.2222e-06 | 90520.149  |
|  0.01 |  159.170945871   |  159.9631746679  | 2.2222e-06 | 90521.469  |
|  0.01 |  160.7554034669  |  161.5476522367  | 2.2222e-06 | 90522.801  |
|  0.01 |  162.3399010087  |  163.1321698468  | 2.2222e-06 | 90524.147  |
|  0.01 |  163.9244386871  |  164.7167276821  | 2.2222e-06 | 90525.506  |
|  0.01 |  165.5090166794  |  166.3013259742  | 2.2222e-06 | 90526.877  |
| 0.011 |  167.0936352715  |  167.8859649412  | 2.2222e-06 | 90528.262  |
| 0.011 |  168.6782946133  |  169.4706447669  | 2.2222e-06 |  90529.66  |
| 0.011 |  170.2629949229  |  171.0553657033  | 2.2222e-06 | 90531.072  |
| 0.011 |  171.8477364863  |  172.6401279753  | 2.2222e-06 | 90532.496  |
| 0.011 |  173.4325194669  |  174.224931794   | 2.2222e-06 | 90533.933  |
| 0.011 |  175.0173441238  |  175.8097773978  | 2.2222e-06 | 90535.384  |
| 0.011 |  176.6022106747  |  177.3946650525  | 2.2222e-06 | 90536.847  |
| 0.011 |  178.1871194331  |  178.9795949963  | 2.2222e-06 | 90538.324  |
| 0.011 |  179.7720705624  |  180.5645674405  | 2.2222e-06 | 90539.814  |
| 0.012 |  181.3570643215  |  182.1495826575  | 2.2222e-06 | 90541.317  |
| 0.012 |  182.9421009966  |  183.7346408926  | 2.2222e-06 | 90542.833  |
| 0.012 |  184.5271807919  |  185.3197424183  | 2.2222e-06 | 90544.362  |
| 0.012 |  186.112304048   |  186.9048875002  | 2.2221e-06 | 90545.904  |
| 0.012 |  187.6974709557  |  188.4900763767  | 2.2221e-06 |  90547.46  |
| 0.012 |  189.2826818011  |  190.0753093407  | 2.2221e-06 | 90549.028  |
| 0.012 |  190.8679368839  |  191.6605866444  | 2.2221e-06 |  90550.61  |
| 0.012 |  192.4532364085  |  193.2459085329  | 2.2221e-06 | 90552.204  |
| 0.012 |  194.038580661   |  194.8312753195  | 2.2221e-06 | 90553.812  |
| 0.012 |  195.6239699819  |  196.4166872769  | 2.2221e-06 | 90555.433  |
| 0.012 |  197.2094045757  |  198.0021446637  | 2.2221e-06 | 90557.067  |
| 0.013 |  198.7948847557  |  199.5876477731  | 2.2221e-06 | 90558.714  |
| 0.013 |  200.3804107945  |  201.1731968638  | 2.2221e-06 | 90560.374  |
| 0.013 |  201.9659829372  |  202.7587922355  | 2.2221e-06 | 90562.047  |
| 0.013 |  203.5516015381  |  204.3444341813  | 2.2221e-06 | 90563.734  |
| 0.013 |  205.1372668288  |  205.9301229667  | 2.2221e-06 | 90565.433  |
| 0.013 |  206.7229791091  |  207.5158588917  | 2.2221e-06 | 90567.146  |
| 0.013 |  208.3087386787  |  209.101642249   | 2.2221e-06 | 90568.871  |
| 0.013 |  209.8945458238  |  210.6874733248  | 2.2221e-06 |  90570.61  |
| 0.013 |  211.4804008305  |  212.2733524121  | 2.222e-06  | 90572.362  |
| 0.014 |  213.0663039986  |  213.8592798039  | 2.222e-06  | 90574.127  |
| 0.014 |  214.6522556141  |  215.4452557998  | 2.222e-06  | 90575.905  |
| 0.014 |  216.2382559906  |  217.0312806929  | 2.222e-06  | 90577.696  |
| 0.014 |  217.8243054004  |  218.6173547829  | 2.222e-06  |  90579.5   |
| 0.014 |  219.4104041707  |  220.2034783832  | 2.222e-06  | 90581.318  |
| 0.014 |  220.9965526011  |  221.7896517868  | 2.222e-06  | 90583.148  |
| 0.014 |  222.582750978   |  223.375875307   | 2.222e-06  | 90584.991  |
| 0.014 |  224.1689996418  |  224.9621492302  | 2.222e-06  | 90586.848  |
| 0.014 |  225.7552988243  |  226.5484738627  | 2.222e-06  | 90588.718  |
| 0.014 |  227.3416489071  |  228.1348495181  | 2.222e-06  | 90590.601  |
| 0.014 |  228.9280501353  |  229.7212764758  | 2.222e-06  | 90592.496  |
| 0.015 |  230.5145028225  |  231.3077550627  | 2.222e-06  | 90594.405  |
| 0.015 |  232.1010073093  |  232.894285606   | 2.222e-06  | 90596.328  |
| 0.015 |  233.6875639091  |  234.4808683985  | 2.222e-06  | 90598.263  |
| 0.015 |  235.2741728945  |  236.0675037538  | 2.2219e-06 | 90600.211  |
| 0.015 |  236.8608346198  |  237.6541919921  | 2.2219e-06 | 90602.172  |
| 0.015 |  238.4475493712  |  239.2409334268  | 2.2219e-06 | 90604.147  |
| 0.015 |  240.0343174894  |  240.827728351   | 2.2219e-06 | 90606.134  |
| 0.015 |  241.6211392197  |  242.4145770712  | 2.2219e-06 | 90608.135  |
| 0.015 |   243.20801493   |  244.0014799214  | 2.2219e-06 | 90610.148  |
| 0.016 |  244.7949449202  |  245.5884372219  | 2.2219e-06 | 90612.175  |
| 0.016 |  246.381929531   |  247.1754492928  | 2.2219e-06 | 90614.215  |
| 0.016 |  247.9689690623  |  248.7625164409  | 2.2219e-06 | 90616.268  |
| 0.016 |  249.5560638274  |  250.3496389729  | 2.2219e-06 | 90618.334  |
| 0.016 |  251.1432141263  |  251.9368172157  | 2.2219e-06 | 90620.413  |
| 0.016 |  252.7304203133  |  253.5240514898  | 2.2219e-06 | 90622.505  |
| 0.016 |  254.3176826746  |  255.1113421222  | 2.2219e-06 | 90624.611  |
| 0.016 |  255.9050015783  |  256.6986894264  | 2.2218e-06 | 90626.729  |
| 0.016 |  257.4923772832  |  258.2860937091  | 2.2218e-06 | 90628.861  |
| 0.016 |  259.0798101438  |  259.8735552974  | 2.2218e-06 | 90631.005  |
| 0.016 |   260.66730046   |  261.4610745048  | 2.2218e-06 | 90633.163  |
| 0.017 |  262.2548485588  |  263.0486516857  | 2.2218e-06 | 90635.333  |
| 0.017 |  263.8424548219  |  264.6362871672  | 2.2218e-06 | 90637.517  |
| 0.017 |  265.430119522   |  266.2239812356  | 2.2218e-06 | 90639.714  |
| 0.017 |  267.0178429589  |  267.811734218   | 2.2218e-06 | 90641.924  |
| 0.017 |  268.605625487   |  269.3995464484  | 2.2218e-06 | 90644.147  |
| 0.017 |  270.1934674199  |  270.9874182404  | 2.2218e-06 | 90646.383  |
| 0.017 |  271.781369071   |  272.5753499074  | 2.2218e-06 | 90648.632  |
| 0.017 |  273.3693307541  |  274.163341797   | 2.2218e-06 | 90650.894  |
| 0.017 |  274.9573528505  |  275.7513942433  | 2.2217e-06 |  90653.17  |
| 0.018 |  276.5454356468  |  277.3395075598  | 2.2217e-06 | 90655.458  |
