+-------+------------------+------------------+------------+------------+
|   Z   |        F         |     F deriv      |     U      |    divF    |
| 0.069 |  1110.138265583  | 1110.9702391332  | 2.2107e-06 | 93544.274  |
| 0.069 | 1111.8022133662  | 1112.6343028359  | 2.2106e-06 | 93553.129  |
| 0.069 | 1113.4663929914  | 1114.2985985478  | 2.2106e-06 | 93561.996  |
| 0.069 | 1115.1308047931  | 1115.9631265694  | 2.2106e-06 | 93570.876  |
| 0.069 | 1116.7954490376  | 1117.6278872214  | 2.2105e-06 | 93579.768  |
|  0.07 | 1118.4603261002  | 1119.2928808316  | 2.2105e-06 | 93588.672  |
|  0.07 | 1120.1254362609  | 1120.9581077003  | 2.2105e-06 | 93597.588  |
|  0.07 | 1121.7907798407  | 1122.6235681621  | 2.2104e-06 | 93606.517  |
|  0.07 | 1123.4563571876  | 1124.2892625242  | 2.2104e-06 | 93615.457  |
|  0.07 | 1125.1221685681  | 1125.9551911009  | 2.2104e-06 |  93624.41  |
|  0.07 |  1126.788214344  | 1127.6213542062  | 2.2103e-06 | 93633.375  |
|  0.07 | 1128.4544947818  |  1129.287752168  | 2.2103e-06 | 93642.352  |
|  0.07 | 1130.1210102706  | 1130.9543853072  | 2.2102e-06 | 93651.341  |
|  0.07 | 1131.7877610634  | 1132.6212539314  | 2.2102e-06 | 93660.343  |
|  0.07 |  1133.454747522  | 1134.2883583546  | 2.2102e-06 | 93669.356  |
|  0.07 | 1135.1219699131  | 1135.9556988914  | 2.2101e-06 | 93678.382  |
| 0.071 | 1136.7894285986  |  1137.623275883  | 2.2101e-06 |  93687.42  |
| 0.071 | 1138.4571238996  | 1139.2910896235  | 2.2101e-06 |  93696.47  |
| 0.071 | 1140.1250560828  | 1140.9591404204  |  2.21e-06  | 93705.532  |
| 0.071 | 1141.7932254966  | 1142.6274286085  |  2.21e-06  | 93714.607  |
| 0.071 | 1143.4616324622  | 1144.2959545022  |  2.21e-06  | 93723.693  |
| 0.071 | 1145.1302772871  | 1145.9647184091  | 2.2099e-06 | 93732.792  |
| 0.071 | 1146.7991602791  | 1147.6337206436  | 2.2099e-06 | 93741.903  |
| 0.071 | 1148.4682817594  | 1149.3029615407  | 2.2099e-06 | 93751.026  |
| 0.071 | 1150.1376420765  |  1150.972441408  | 2.2098e-06 | 93760.161  |
| 0.072 | 1151.8072414973  |  1152.642160526  | 2.2098e-06 | 93769.308  |
| 0.072 | 1153.4770803158  | 1154.3121192365  | 2.2098e-06 | 93778.468  |
| 0.072 | 1155.1471589215  | 1155.9823178745  | 2.2097e-06 | 93787.639  |
| 0.072 |  1156.817477595  | 1157.6527567409  | 2.2097e-06 | 93796.823  |
| 0.072 | 1158.4880366576  | 1159.3234361368  | 2.2096e-06 | 93806.019  |
| 0.072 |  1160.15883639   | 1160.9943563903  | 2.2096e-06 | 93815.226  |
| 0.072 | 1161.8298771681  | 1162.6655178231  | 2.2096e-06 | 93824.446  |
| 0.072 | 1163.5011592588  | 1164.3369207361  | 2.2095e-06 | 93833.679  |
| 0.072 | 1165.1726829974  | 1166.0085654577  | 2.2095e-06 | 93842.923  |
| 0.072 | 1166.8444487053  | 1167.6804522958  | 2.2095e-06 | 93852.179  |
| 0.073 |  1168.516456677  | 1169.3525815516  | 2.2094e-06 | 93861.448  |
| 0.073 | 1170.1887072203  | 1171.0249535467  | 2.2094e-06 | 93870.728  |
| 0.073 | 1171.8612006704  | 1172.6975686094  | 2.2094e-06 | 93880.021  |
| 0.073 | 1173.5339373491  | 1174.3704270479  | 2.2093e-06 | 93889.326  |
| 0.073 | 1175.2069175508  | 1176.0435291702  | 2.2093e-06 | 93898.642  |
| 0.073 | 1176.8801415971  | 1177.7168752979  | 2.2092e-06 | 93907.971  |
| 0.073 | 1178.5536098097  | 1179.3904657461  | 2.2092e-06 | 93917.312  |
| 0.073 | 1180.2273224968  |  1181.064300816  | 2.2092e-06 | 93926.665  |
| 0.073 | 1181.9012799529  | 1182.7383808362  | 2.2091e-06 | 93936.031  |
| 0.073 | 1183.5754825406  | 1184.4127061285  | 2.2091e-06 | 93945.408  |
| 0.074 | 1185.2499305409  | 1186.0872769806  | 2.2091e-06 | 93954.797  |
| 0.074 | 1186.9246242483  | 1187.7620937145  | 2.209e-06  | 93964.199  |
| 0.074 | 1188.5995640121  |  1189.437156652  | 2.209e-06  | 93973.612  |
| 0.074 | 1190.2747501268  | 1191.1124661015  | 2.2089e-06 | 93983.038  |
| 0.074 | 1191.9501829144  | 1192.7880223779  | 2.2089e-06 | 93992.475  |
| 0.074 | 1193.6258626831  | 1194.4638257828  | 2.2089e-06 | 94001.925  |
| 0.074 | 1195.3017897278  | 1196.1398766383  | 2.2088e-06 | 94011.387  |
| 0.074 | 1196.9779643976  | 1197.8161752799  | 2.2088e-06 | 94020.861  |
| 0.074 | 1198.6543870145  | 1199.4927220024  | 2.2088e-06 | 94030.346  |
| 0.074 | 1200.3310578461  | 1201.1695171143  | 2.2087e-06 | 94039.844  |
| 0.074 | 1202.0079772418  | 1202.8465609308  | 2.2087e-06 | 94049.354  |
| 0.075 | 1203.6851454827  | 1204.5238537604  | 2.2087e-06 | 94058.876  |
| 0.075 | 1205.3625629046  | 1206.2013959321  | 2.2086e-06 |  94068.41  |
| 0.075 | 1207.0402298296  | 1207.8791877476  | 2.2086e-06 | 94077.956  |
| 0.075 | 1208.7181465391  | 1209.5572295222  | 2.2085e-06 | 94087.514  |
| 0.075 | 1210.3963133825  | 1211.2355215782  | 2.2085e-06 | 94097.085  |
| 0.075 | 1212.0747306547  | 1212.9140642038  | 2.2085e-06 | 94106.667  |
| 0.075 | 1213.7533986372  | 1214.5928577212  | 2.2084e-06 | 94116.261  |
| 0.075 | 1215.4323176931  | 1216.2719024663  | 2.2084e-06 | 94125.867  |
| 0.075 |  1217.111488131  | 1217.9511987274  | 2.2083e-06 | 94135.485  |
| 0.076 | 1218.7909102189  | 1219.6307468064  | 2.2083e-06 | 94145.116  |
| 0.076 | 1220.4705842927  | 1221.3105470325  | 2.2083e-06 | 94154.758  |
| 0.076 | 1222.1505106747  | 1222.9905997212  | 2.2082e-06 | 94164.412  |
| 0.076 | 1223.8306896738  | 1224.6709051814  | 2.2082e-06 | 94174.078  |
| 0.076 | 1225.5111215988  | 1226.3514637219  | 2.2082e-06 | 94183.757  |
| 0.076 | 1227.1918067585  | 1228.0322756583  | 2.2081e-06 | 94193.447  |
| 0.076 | 1228.8727454753  | 1229.7133413064  | 2.2081e-06 | 94203.149  |
| 0.076 | 1230.5539380583  | 1231.3946609546  | 2.208e-06  | 94212.864  |
| 0.076 | 1232.2353847754  | 1233.0762349186  | 2.208e-06  |  94222.59  |
| 0.076 | 1233.9170859901  | 1234.7580635279  | 2.208e-06  | 94232.328  |
| 0.076 | 1235.5990419977  | 1236.4401470914  | 2.2079e-06 | 94242.078  |
| 0.077 | 1237.2812531208  | 1238.1224859113  | 2.2079e-06 | 94251.841  |
| 0.077 | 1238.9637196412  | 1239.8050803034  | 2.2079e-06 | 94261.615  |
| 0.077 | 1240.6464419089  | 1241.4879305769  | 2.2078e-06 | 94271.401  |
| 0.077 |  1242.329420192  | 1243.1710370477  | 2.2078e-06 | 94281.199  |
| 0.077 | 1244.0126548541  | 1244.8544000384  | 2.2077e-06 | 94291.009  |
| 0.077 | 1245.6961461772  | 1246.5380198377  | 2.2077e-06 | 94300.832  |
| 0.077 | 1247.3798944567  | 1248.2218967618  | 2.2077e-06 | 94310.666  |
| 0.077 | 1249.0639000291  | 1249.9060311197  | 2.2076e-06 | 94320.512  |
| 0.077 | 1250.7481631763  | 1251.5904232207  | 2.2076e-06 |  94330.37  |
| 0.078 | 1252.4326842349  | 1253.2750733672  | 2.2075e-06 |  94340.24  |
| 0.078 | 1254.1174634732  | 1254.9599818822  | 2.2075e-06 | 94350.122  |
| 0.078 | 1255.8025012686  | 1256.6451490748  | 2.2075e-06 | 94360.015  |
| 0.078 | 1257.4877978624  | 1258.3305752546  | 2.2074e-06 | 94369.921  |
| 0.078 |  1259.173353632  | 1260.0162607376  | 2.2074e-06 | 94379.839  |
| 0.078 | 1260.8591688323  | 1261.7022058264  | 2.2073e-06 | 94389.769  |
| 0.078 | 1262.5452438135  | 1263.3884108372  | 2.2073e-06 |  94399.71  |
| 0.078 | 1264.2315788578  | 1265.0748760591  | 2.2073e-06 | 94409.664  |
| 0.078 | 1265.9181742612  | 1266.7616018219  | 2.2072e-06 | 94419.629  |
| 0.078 | 1267.6050303874  | 1268.4485884352  | 2.2072e-06 | 94429.607  |
| 0.078 | 1269.2921474917  | 1270.1358362016  | 2.2071e-06 | 94439.596  |
| 0.079 | 1270.9795259242  | 1271.8233454444  | 2.2071e-06 | 94449.597  |
| 0.079 | 1272.6671659811  | 1273.5111164458  | 2.2071e-06 |  94459.61  |
| 0.079 | 1274.3550679311  |  1275.199149536  | 2.207e-06  | 94469.636  |
| 0.079 | 1276.0432321654  | 1276.8874450312  | 2.207e-06  | 94479.673  |
| 0.079 | 1277.7316589256  | 1278.5760032209  | 2.207e-06  | 94489.721  |
| 0.079 | 1279.4203485487  | 1280.2648244215  | 2.2069e-06 | 94499.782  |
| 0.079 | 1281.1093013307  | 1281.9539089358  | 2.2069e-06 | 94509.855  |
| 0.079 | 1282.7985175814  | 1283.6432570669  | 2.2068e-06 |  94519.94  |
| 0.079 | 1284.4879975969  |  1285.332869138  | 2.2068e-06 | 94530.036  |
|  0.08 | 1286.1777417278  | 1287.0227454659  | 2.2068e-06 | 94540.145  |
|  0.08 | 1287.8677502568  |  1288.71288634   | 2.2067e-06 | 94550.265  |
|  0.08 | 1289.5580234799  | 1290.4032920768  | 2.2067e-06 | 94560.397  |
|  0.08 | 1291.2485617345  | 1292.0939629795  | 2.2066e-06 | 94570.541  |
|  0.08 | 1292.9393652894  | 1293.7848993647  | 2.2066e-06 | 94580.697  |
|  0.08 | 1294.6304345091  | 1295.4761015425  | 2.2066e-06 | 94590.865  |
|  0.08 | 1296.3217696491  | 1297.1675698092  | 2.2065e-06 | 94601.045  |
|  0.08 | 1298.0133710465  | 1298.8593044747  | 2.2065e-06 | 94611.236  |
|  0.08 | 1299.7052389843  | 1300.5513058424  | 2.2064e-06 |  94621.44  |
|  0.08 |  1301.397373786  |  1302.243574229  | 2.2064e-06 | 94631.655  |
|  0.08 | 1303.0897757616  | 1303.9361099446  | 2.2063e-06 | 94641.882  |
| 0.081 | 1304.7824452214  | 1305.6289133061  | 2.2063e-06 | 94652.121  |
| 0.081 | 1306.4753824889  | 1307.3219846034  | 2.2063e-06 | 94662.372  |
| 0.081 |  1308.16858782   | 1309.0153241464  | 2.2062e-06 | 94672.635  |
| 0.081 | 1309.8620615792  | 1310.7089322387  | 2.2062e-06 | 94682.909  |
| 0.081 | 1311.5558040088  | 1312.4028091768  | 2.2061e-06 | 94693.196  |
| 0.081 | 1313.2498154596  | 1314.0969552982  | 2.2061e-06 | 94703.494  |
| 0.081 | 1314.9440962558  | 1315.7913709064  | 2.2061e-06 | 94713.804  |
| 0.081 | 1316.6386466802  | 1317.4860562912  | 2.206e-06  | 94724.126  |
| 0.081 | 1318.3334670297  | 1319.1810117494  | 2.206e-06  |  94734.46  |
| 0.082 | 1320.0285576009  |  1320.876237605  | 2.2059e-06 | 94744.805  |
| 0.082 | 1321.7239187452  | 1322.5717341684  | 2.2059e-06 | 94755.163  |
| 0.082 | 1323.4195507319  | 1324.2675017431  | 2.2059e-06 | 94765.532  |
| 0.082 | 1325.1154538989  | 1325.9635406397  | 2.2058e-06 | 94775.913  |
| 0.082 | 1326.8116285293  | 1327.6598511413  | 2.2058e-06 | 94786.306  |
| 0.082 | 1328.5080749065  | 1329.3564335789  | 2.2057e-06 |  94796.71  |
| 0.082 | 1330.2047934089  | 1331.0532882563  | 2.2057e-06 | 94807.127  |
| 0.082 | 1331.9017842656  | 1332.7504154568  | 2.2057e-06 | 94817.555  |
| 0.082 | 1333.5990478142  | 1334.4478155113  | 2.2056e-06 | 94827.995  |
| 0.082 |  1335.296584379  | 1336.1454887238  | 2.2056e-06 | 94838.447  |
| 0.082 | 1336.9943942435  | 1337.8434353844  | 2.2055e-06 | 94848.911  |
| 0.083 | 1338.6924777047  | 1339.5416558039  | 2.2055e-06 | 94859.386  |
| 0.083 | 1340.3908350868  | 1341.2401502929  | 2.2054e-06 | 94869.873  |
| 0.083 | 1342.0894666871  | 1342.9389191622  | 2.2054e-06 | 94880.372  |
| 0.083 | 1343.7883728298  | 1344.6379627089  | 2.2054e-06 | 94890.883  |
| 0.083 |  1345.487553785  | 1346.3372812303  | 2.2053e-06 | 94901.406  |
| 0.083 |  1347.187009877  | 1348.0368750439  | 2.2053e-06 |  94911.94  |
| 0.083 | 1348.8867414167  | 1349.7367444471  | 2.2052e-06 | 94922.486  |
| 0.083 | 1350.5867486878  | 1351.4368897439  | 2.2052e-06 | 94933.044  |
| 0.083 | 1352.2870320148  | 1353.1373112452  | 2.2052e-06 | 94943.614  |
| 0.084 | 1353.9875916949  | 1354.8380092483  | 2.2051e-06 | 94954.195  |
| 0.084 | 1355.6884280255  | 1356.5389840847  | 2.2051e-06 | 94964.789  |
| 0.084 | 1357.3895413722  |  1358.240236045  | 2.205e-06  | 94975.394  |
| 0.084 | 1359.0909319506  |  1359.941765406  | 2.205e-06  |  94986.01  |
| 0.084 | 1360.7926000989  | 1361.6435724927  | 2.2049e-06 | 94996.639  |
| 0.084 | 1362.4945461283  | 1363.3456576159  | 2.2049e-06 | 95007.279  |
| 0.084 | 1364.1967703499  | 1365.0480210801  | 2.2049e-06 | 95017.931  |
| 0.084 | 1365.8992730612  | 1366.7506631759  | 2.2048e-06 | 95028.594  |
| 0.084 | 1367.6020545462  | 1368.4535842147  | 2.2048e-06 |  95039.27  |
| 0.084 | 1369.3051151433  | 1370.1567844938  | 2.2047e-06 | 95049.957  |
| 0.084 | 1371.0084551092  | 1371.8602643111  | 2.2047e-06 | 95060.656  |
| 0.085 | 1372.7120747825  | 1373.5640239982  | 2.2046e-06 | 95071.366  |
| 0.085 |  1374.415974488  | 1375.2680638324  | 2.2046e-06 | 95082.089  |
| 0.085 | 1376.1201544554  | 1376.9723841318  | 2.2046e-06 | 95092.823  |
| 0.085 | 1377.8246150914  | 1378.6769852214  | 2.2045e-06 | 95103.568  |
| 0.085 | 1379.5293566393  | 1380.3818673581  | 2.2045e-06 | 95114.326  |
| 0.085 | 1381.2343793695  | 1382.0870308602  | 2.2044e-06 | 95125.095  |
| 0.085 | 1382.9396836481  | 1383.7924760391  | 2.2044e-06 | 95135.876  |
| 0.085 | 1384.6452697321  |  1385.498203186  | 2.2043e-06 | 95146.668  |
| 0.085 | 1386.3511379465  | 1387.2042126054  | 2.2043e-06 | 95157.473  |
| 0.086 | 1388.0572885757  | 1388.9105045954  | 2.2043e-06 | 95168.289  |
| 0.086 | 1389.7637219313  | 1390.6170794676  | 2.2042e-06 | 95179.116  |
| 0.086 | 1391.4704383247  | 1392.3239375198  | 2.2042e-06 | 95189.956  |
| 0.086 | 1393.1774380406  | 1394.0310790639  | 2.2041e-06 | 95200.807  |
| 0.086 | 1394.8847214176  | 1395.7385044182  | 2.2041e-06 | 95211.669  |
| 0.086 | 1396.5922887539  | 1397.4462138672  | 2.204e-06  | 95222.544  |
| 0.086 | 1398.3001403204  | 1399.1542077159  | 2.204e-06  |  95233.43  |
| 0.086 |  1400.008276456  | 1400.8624862691  | 2.204e-06  | 95244.327  |
| 0.086 | 1401.7166974318  | 1402.5710498116  | 2.2039e-06 | 95255.237  |
| 0.086 | 1403.4254035458  | 1404.2798986483  | 2.2039e-06 | 95266.158  |
| 0.087 | 1405.1343951099  | 1405.9890330774  | 2.2038e-06 |  95277.09  |
| 0.087 | 1406.8436724088  | 1407.6984534176  | 2.2038e-06 | 95288.035  |
| 0.087 | 1408.5532357953  | 1409.4081599605  | 2.2037e-06 | 95298.991  |
| 0.087 | 1410.2630854994  | 1411.1181529975  | 2.2037e-06 | 95309.958  |
| 0.087 | 1411.9732218742  | 1412.8284328543  | 2.2036e-06 | 95320.937  |
| 0.087 | 1413.6836452179  | 1414.5389998157  | 2.2036e-06 | 95331.928  |
| 0.087 | 1415.3943558018  | 1416.2498541868  | 2.2036e-06 | 95342.931  |
| 0.087 | 1417.1053539651  | 1417.9609962798  | 2.2035e-06 | 95353.945  |
| 0.087 | 1418.8166399927  | 1419.6724263795  | 2.2035e-06 | 95364.971  |
| 0.087 | 1420.5282141695  | 1421.3841447981  | 2.2034e-06 | 95376.008  |
| 0.088 | 1422.2400768349  | 1423.0961518206  | 2.2034e-06 | 95387.057  |
| 0.088 | 1423.9522282194  | 1424.8084477386  | 2.2033e-06 | 95398.118  |
| 0.088 |  1425.664668676  | 1426.5210328713  | 2.2033e-06 |  95409.19  |
| 0.088 | 1427.3773984897  | 1428.2339075172  | 2.2032e-06 | 95420.274  |
| 0.088 | 1429.0904179729  | 1429.9470719752  | 2.2032e-06 |  95431.37  |
| 0.088 | 1430.8037274106  | 1431.6605265574  | 2.2032e-06 | 95442.477  |
| 0.088 | 1432.5173271424  | 1433.3742715559  | 2.2031e-06 | 95453.595  |
| 0.088 | 1434.2312174126  | 1435.0883072626  | 2.2031e-06 | 95464.726  |
| 0.088 | 1435.9453985608  | 1436.8026339899  | 2.203e-06  | 95475.868  |
| 0.088 | 1437.6598708723  | 1438.5172520231  | 2.203e-06  | 95487.021  |
| 0.089 | 1439.3746346322  |  1440.232161661  | 2.2029e-06 | 95498.186  |
| 0.089 | 1441.0896901532  | 1441.9473632161  | 2.2029e-06 | 95509.363  |
| 0.089 | 1442.8050377476  | 1443.6628569806  | 2.2028e-06 | 95520.551  |
| 0.089 | 1444.5206776873  | 1445.3786432535  | 2.2028e-06 | 95531.751  |
| 0.089 | 1446.2366102985  | 1447.0947223406  | 2.2028e-06 | 95542.962  |
| 0.089 | 1447.9528358665  |  1448.811094534  | 2.2027e-06 | 95554.185  |
| 0.089 | 1449.6693546905  | 1450.5277601464  | 2.2027e-06 |  95565.42  |
| 0.089 | 1451.3861670967  | 1452.2447194839  | 2.2026e-06 | 95576.666  |
| 0.089 | 1453.1032733705  | 1453.9619728182  | 2.2026e-06 | 95587.923  |
| 0.089 | 1454.8206737705  | 1455.6795204622  | 2.2025e-06 | 95599.193  |
|  0.09 | 1456.5383686636  | 1457.3973627217  | 2.2025e-06 | 95610.473  |
|  0.09 | 1458.2563582949  | 1459.1154998622  | 2.2024e-06 | 95621.766  |
|  0.09 | 1459.9746429497  | 1460.8339321827  | 2.2024e-06 | 95633.069  |
|  0.09 | 1461.6932229411  | 1462.5526600166  | 2.2023e-06 | 95644.385  |
|  0.09 | 1463.4120986229  | 1464.2716836497  | 2.2023e-06 | 95655.712  |
|  0.09 | 1465.1312702125  | 1465.9910033745  | 2.2023e-06 |  95667.05  |
|  0.09 | 1466.8507380776  | 1467.7106195175  | 2.2022e-06 |  95678.4   |
|  0.09 | 1468.5705025039  | 1469.4305323579  | 2.2022e-06 | 95689.761  |
|  0.09 | 1470.2905637637  | 1471.1507421678  | 2.2021e-06 | 95701.134  |
|  0.09 |  1472.010922129  | 1472.8712492603  | 2.2021e-06 | 95712.519  |
| 0.091 |  1473.731577954  | 1474.5920539486  | 2.202e-06  | 95723.915  |
| 0.091 | 1475.4525315109  | 1476.3131565185  | 2.202e-06  | 95735.323  |
| 0.091 | 1477.1737830993  | 1478.0345572494  | 2.2019e-06 | 95746.742  |
| 0.091 |  1478.895332978  | 1479.7562564543  | 2.2019e-06 | 95758.172  |
| 0.091 | 1480.6171815146  | 1481.4782544398  | 2.2018e-06 | 95769.614  |
| 0.091 | 1482.3393289543  |  1483.200551492  | 2.2018e-06 | 95781.068  |
| 0.091 | 1484.0617756242  | 1484.9231479105  | 2.2018e-06 | 95792.533  |
| 0.091 | 1485.7845217967  | 1486.6460439882  | 2.2017e-06 | 95804.009  |
| 0.091 | 1487.5075677852  | 1488.3692400387  | 2.2017e-06 | 95815.497  |
| 0.091 | 1489.2309139031  | 1490.0927363549  | 2.2016e-06 | 95826.997  |
| 0.092 |  1490.954560423  | 1491.8165332026  | 2.2016e-06 | 95838.508  |
| 0.092 |  1492.678507604  | 1493.5406308953  | 2.2015e-06 |  95850.03  |
| 0.092 |  1494.402755814  | 1495.2650297398  | 2.2015e-06 | 95861.564  |
| 0.092 | 1496.1273052984  | 1496.9897300156  | 2.2014e-06 | 95873.109  |
| 0.092 |  1497.852156371  | 1498.7147320226  | 2.2014e-06 | 95884.666  |
| 0.092 |  1499.577309318  | 1500.4400360677  | 2.2013e-06 | 95896.235  |
| 0.092 | 1501.3027644667  | 1502.1656424373  | 2.2013e-06 | 95907.814  |
| 0.092 | 1503.0285220628  | 1503.8915514247  | 2.2012e-06 | 95919.405  |
| 0.092 | 1504.7545824471  | 1505.6177633301  | 2.2012e-06 | 95931.008  |
| 0.092 | 1506.4809458791  | 1507.3442784467  | 2.2011e-06 | 95942.622  |
| 0.092 |  1508.207612686  | 1509.0710970748  | 2.2011e-06 | 95954.248  |
| 0.093 | 1509.9345831408  | 1510.7982194942  | 2.2011e-06 | 95965.885  |
| 0.093 | 1511.6618575303  | 1512.5256460255  | 2.201e-06  | 95977.533  |
| 0.093 |  1513.389436209  | 1514.2533769486  | 2.201e-06  | 95989.193  |
| 0.093 | 1515.1173193821  | 1515.9814125502  | 2.2009e-06 | 96000.864  |
| 0.093 | 1516.8455074179  | 1517.7097531375  | 2.2009e-06 | 96012.547  |
| 0.093 | 1518.5740005623  |  1519.438399004  | 2.2008e-06 | 96024.241  |
| 0.093 | 1520.3027991567  | 1521.1673504435  | 2.2008e-06 | 96035.946  |
| 0.093 | 1522.0319034469  | 1522.8966077494  | 2.2007e-06 | 96047.663  |
| 0.093 | 1523.7613137743  | 1524.6261712224  | 2.2007e-06 | 96059.391  |
| 0.094 | 1525.4910303986  | 1526.3560411494  | 2.2006e-06 | 96071.131  |
| 0.094 | 1527.2210536339  | 1528.0862178376  | 2.2006e-06 | 96082.882  |
| 0.094 | 1528.9513837808  |  1529.816701581  | 2.2005e-06 | 96094.645  |
| 0.094 | 1530.6820211264  | 1531.5474926528  | 2.2005e-06 | 96106.418  |
| 0.094 | 1532.4129659303  | 1533.2785913266  | 2.2004e-06 | 96118.204  |
| 0.094 | 1534.1442184797  | 1535.0099979167  | 2.2004e-06 |  96130.0   |
| 0.094 | 1535.8757791162  | 1536.7417127441  | 2.2003e-06 | 96141.808  |
| 0.094 | 1537.6076481404  | 1538.4737360894  | 2.2003e-06 | 96153.628  |
| 0.094 | 1539.3398258124  | 1540.2060682191  | 2.2002e-06 | 96165.458  |
| 0.094 | 1541.0723124058  | 1541.9387094411  | 2.2002e-06 | 96177.301  |
| 0.094 | 1542.8051082621  | 1543.6716600697  | 2.2002e-06 | 96189.154  |
| 0.095 | 1544.5382136688  | 1545.4049204058  | 2.2001e-06 | 96201.019  |
| 0.095 | 1546.2716289403  | 1547.1384907165  | 2.2001e-06 | 96212.895  |
| 0.095 |  1548.005354296  | 1548.8723712754  |  2.2e-06   | 96224.783  |
| 0.095 |  1549.739390064  | 1550.6065623971  |  2.2e-06   | 96236.681  |
| 0.095 | 1551.4737365454  | 1552.3410643827  | 2.1999e-06 | 96248.592  |
| 0.095 | 1553.2083940412  | 1554.0758775061  | 2.1999e-06 | 96260.513  |
| 0.095 | 1554.9433627981  | 1555.8110020548  | 2.1998e-06 | 96272.446  |
| 0.095 | 1556.6786431445  | 1557.5464383367  | 2.1998e-06 |  96284.39  |
| 0.095 | 1558.4142353679  |  1559.282186653  | 2.1997e-06 | 96296.346  |
| 0.096 | 1560.1501397831  | 1561.0182472914  | 2.1997e-06 | 96308.313  |
| 0.096 | 1561.8863566505  | 1562.7546205326  | 2.1996e-06 | 96320.291  |
| 0.096 | 1563.6228862715  | 1564.4913066711  | 2.1996e-06 | 96332.281  |
| 0.096 | 1565.3597289337  | 1566.2283059948  | 2.1995e-06 | 96344.281  |
| 0.096 | 1567.0968849248  | 1567.9656187912  | 2.1995e-06 | 96356.293  |
| 0.096 | 1568.8343545326  | 1569.7032453551  | 2.1994e-06 | 96368.317  |
| 0.096 | 1570.5721380586  | 1571.4411860014  | 2.1994e-06 | 96380.352  |
| 0.096 | 1572.3102358313  | 1573.1794410044  | 2.1993e-06 | 96392.398  |
| 0.096 | 1574.0486480707  | 1574.9180106385  | 2.1993e-06 | 96404.455  |
| 0.096 | 1575.7873751055  | 1576.6568952187  | 2.1992e-06 | 96416.524  |
| 0.096 | 1577.5264172372  | 1578.3960950329  | 2.1992e-06 | 96428.603  |
| 0.097 | 1579.2657747402  | 1580.1356103762  | 2.1991e-06 | 96440.695  |
| 0.097 | 1581.0054479297  | 1581.8754415227  | 2.1991e-06 | 96452.797  |
| 0.097 | 1582.7454370394  | 1583.6155887675  | 2.199e-06  | 96464.911  |
| 0.097 | 1584.4857424255  | 1585.3560523986  | 2.199e-06  | 96477.036  |
| 0.097 | 1586.2263643079  | 1587.0968326906  | 2.1989e-06 | 96489.172  |
| 0.097 | 1587.9673030156  |  1588.837929952  | 2.1989e-06 | 96501.319  |
| 0.097 |  1589.708558837  |  1590.579344478  | 2.1988e-06 | 96513.478  |
| 0.097 | 1591.4501320737  | 1592.3210765567  | 2.1988e-06 | 96525.648  |
| 0.097 | 1593.1920230006  |  1594.06312649   | 2.1987e-06 | 96537.829  |
| 0.098 | 1594.9342319466  | 1595.8054945595  | 2.1987e-06 | 96550.022  |
| 0.098 | 1596.6767591458  | 1597.5481810263  | 2.1986e-06 | 96562.226  |
| 0.098 | 1598.4196048865  | 1599.2911861856  | 2.1986e-06 | 96574.441  |
| 0.098 | 1600.1627694707  | 1601.0345103531  | 2.1985e-06 | 96586.667  |
| 0.098 | 1601.9062532278  | 1602.7781538104  | 2.1985e-06 | 96598.904  |
| 0.098 | 1603.6500563917  | 1604.5221168189  | 2.1984e-06 | 96611.153  |
| 0.098 |  1605.394179251  |  1606.266399701  | 2.1984e-06 | 96623.413  |
| 0.098 | 1607.1386221623  | 1608.0110027522  | 2.1983e-06 | 96635.684  |
| 0.098 | 1608.8833853597  | 1609.7559262407  | 2.1983e-06 | 96647.966  |
| 0.098 | 1610.6284691456  | 1611.5011704619  | 2.1982e-06 |  96660.26  |
| 0.098 | 1612.3738738086  |  1613.246735691  | 2.1982e-06 | 96672.564  |
| 0.099 | 1614.1195996101  | 1614.9926222098  | 2.1981e-06 |  96684.88  |
| 0.099 | 1615.8656468526  | 1616.7388303207  | 2.1981e-06 | 96697.207  |
| 0.099 | 1617.6120158384  | 1618.4853603329  | 2.198e-06  | 96709.546  |
| 0.099 | 1619.3587068835  | 1620.2322125149  | 2.198e-06  | 96721.895  |
| 0.099 | 1621.1057202088  |  1621.979387142  | 2.1979e-06 | 96734.256  |
| 0.099 |  1622.853056144  | 1623.7268845097  | 2.1979e-06 | 96746.628  |
| 0.099 | 1624.6007149509  | 1625.4747049208  | 2.1978e-06 | 96759.011  |
| 0.099 | 1626.3486969727  | 1627.2228486574  | 2.1978e-06 | 96771.405  |
| 0.099 | 1628.0970024305  | 1628.9713159948  | 2.1977e-06 |  96783.81  |
|  0.1  | 1629.8456316541  | 1630.7201072427  | 2.1977e-06 | 96796.227  |
|  0.1  | 1631.5945849327  | 1632.4692226696  | 2.1976e-06 | 96808.654  |
|  0.1  | 1633.3438625145  | 1634.2186625442  | 2.1976e-06 | 96821.093  |
|  0.1  | 1635.0934646886  | 1635.9684271763  | 2.1975e-06 | 96833.543  |
|  0.1  | 1636.8433917851  | 1637.7185168617  | 2.1975e-06 | 96846.004  |
|  0.1  |  1638.593644066  | 1639.4689318761  | 2.1974e-06 | 96858.476  |
|  0.1  | 1640.3442218206  | 1641.2196725089  | 2.1974e-06 |  96870.96  |
