h: 0.01
xi step: 0.001
xi: 0.8675937500000006
+------+----------------+----------------+--------------------+
|  z   |      u_p       |       u        |         F          |
| 0.77 | 3.8907909e-07  | 6.7345116e-07  | 10658.074763850733 |
| 0.78 | 3.3775462e-07  | 6.5688741e-07  | 10379.785609380164 |
| 0.79 |  2.897005e-07  | 6.4144606e-07  | 10097.56846944358  |
| 0.8  | 2.4517631e-07  | 6.2710444e-07  | 9813.777705497661  |
| 0.81 | 2.0440354e-07  | 6.1383413e-07  | 9530.729850514033  |
| 0.82 | 1.6755612e-07  | 6.0160168e-07  | 9250.659236308542  |
| 0.83 | 1.3475087e-07  | 5.9036939e-07  |  8975.67382525232  |
| 0.84 | 1.0603825e-07  | 5.8009617e-07  | 8707.712960892071  |
| 0.85 |  8.139427e-08  | 5.7073833e-07  | 8448.508936515835  |
| 0.86 |  6.071423e-08  | 5.6225042e-07  | 8199.554377626739  |
| 0.87 |  4.380956e-08  |  5.54586e-07   |  7962.07740231056  |
| 0.88 |  3.04087e-08   | 5.4769832e-07  | 7737.026317528133  |
| 0.89 |  2.016348e-08  | 5.4154094e-07  |  7525.06518636473  |
| 0.9  |  1.266178e-08  | 5.3606816e-07  | 7326.5809302893795 |
| 0.91 |  7.44703e-09   | 5.3123538e-07  |  7141.70170823639  |
| 0.92 |  4.04418e-09   | 5.2699933e-07  | 6970.325185988256  |
| 0.93 |  1.99017e-09   | 5.2331812e-07  |  6812.15409155709  |
| 0.94 |   8.6544e-10   | 5.2015121e-07  | 6666.735349884825  |
| 0.95 |   3.2128e-10   | 5.1745933e-07  | 6533.498390150401  |
| 0.96 |   9.698e-11    | 5.1520419e-07  | 6411.788237089844  |
| 0.97 |   2.217e-11    | 5.1334825e-07  | 6300.889956510995  |
| 0.98 |    3.45e-12    | 5.1185439e-07  | 6200.042872102391  |
| 0.99 |    3.1e-13     | 5.1068559e-07  | 6108.445224417143  |
| 1.0  |     1e-14      | 5.0980452e-07  | 6025.251754858068  |
+------+----------------+----------------+--------------------+
